Jenis Kelamin,Usia (bulan),Median,SD
L,0,49.9,1.9
P,0,49.1,1.8
L,1,54.7,1.9
P,1,53.7,1.9
L,2,58.4,2.0
P,2,57.1,1.9
L,3,61.4,2.1
P,3,59.8,2.0
L,4,63.9,2.1
P,4,62.1,2.0
L,5,65.9,2.2
P,5,64.0,2.1
L,6,67.6,2.2
P,6,65.7,2.1
L,7,69.2,2.3
P,7,67.3,2.1
L,8,70.6,2.3
P,8,68.7,2.2
L,9,72.0,2.3
P,9,70.1,2.2
L,10,73.3,2.4
P,10,71.5,2.3
L,11,74.5,2.4
P,11,72.8,2.3
L,12,75.7,2.4
P,12,74.0,2.3
L,13,76.9,2.4
P,13,75.2,2.3
L,14,78.0,2.5
P,14,76.4,2.4
L,15,79.1,2.5
P,15,77.5,2.4
L,16,80.2,2.5
P,16,78.6,2.4
L,17,81.2,2.5
P,17,79.7,2.4
L,18,82.3,2.6
P,18,80.7,2.5
L,19,83.2,2.6
P,19,81.7,2.5
L,20,84.2,2.6
P,20,82.7,2.5
L,21,85.1,2.6
P,21,83.7,2.5
L,22,86.0,2.7
P,22,84.6,2.5
L,23,87.0,2.7
P,23,85.6,2.6
L,24,87.9,2.7
P,24,86.5,2.6
L,25,88.8,2.7
P,25,87.3,2.6
L,26,89.7,2.8
P,26,88.2,2.6
L,27,90.5,2.8
P,27,89.0,2.7
L,28,91.4,2.8
P,28,89.9,2.7
L,29,92.2,2.8
P,29,90.7,2.7
L,30,93.0,2.9
P,30,91.5,2.7
L,31,93.9,2.9
P,31,92.3,2.8
L,32,94.7,2.9
P,32,93.1,2.8
L,33,95.5,2.9
P,33,93.9,2.8
L,34,96.2,2.9
P,34,94.7,2.8
L,35,97.0,2.9
P,35,95.4,2.9
L,36,97.7,3.0
P,36,96.2,2.9
L,37,98.5,3.0
P,37,96.9,2.9
L,38,99.2,3.0
P,38,97.6,2.9
L,39,99.9,3.0
P,39,98.4,3.0
L,40,100.6,3.1
P,40,99.1,3.0
L,41,101.2,3.1
P,41,99.8,3.0
L,42,101.9,3.1
P,42,100.5,3.0
L,43,102.5,3.1
P,43,101.2,3.0
L,44,103.2,3.1
P,44,101.9,3.0
L,45,103.8,3.1
P,45,102.5,3.0
L,46,104.4,3.1
P,46,103.2,3.0
L,47,105.0,3.1
P,47,103.8,3.0
L,48,105.6,3.1
P,48,104.5,3.0
L,49,106.2,3.1
P,49,105.1,3.0
L,50,106.7,3.1
P,50,105.7,3.0
L,51,107.3,3.1
P,51,106.3,3.0
L,52,107.8,3.1
P,52,106.9,3.0
L,53,108.4,3.1
P,53,107.5,3.0
L,54,108.9,3.1
P,54,108.1,3.0
L,55,109.4,3.1
P,55,108.7,3.0
L,56,110.0,3.1
P,56,109.2,3.0
L,57,110.5,3.1
P,57,109.8,3.0
L,58,111.0,3.1
P,58,110.3,3.0
L,59,111.5,3.1
P,59,110.9,3.0
L,60,112.0,3.1
P,60,111.4,3.0
